FECHA, HORA, LATITUD, LONGITUD, SATELITES, PRECISION, AGE, TEMPERATURA_BMP, PRESION_BMP, ALTITUD_BMP, CO2, TVOC, HUMEDAD_DHT, TEMPERATURA_DHT, LUZ_TSL, LUZ_UV
25/1/2021, 11:25:25, 43.220638, -2.018604, 9, 122, 427, 22.96, 1004.02, 9.06, 427, 4, 44.40, 23.60, 1443, 5, 
25/1/2021, 11:25:44, 43.220654, -2.018667, 9, 119, 440, 22.95, 1004.05, 8.85, 411, 1, 44.40, 23.60, 1402, 1, 
25/1/2021, 11:26:3, 43.220646, -2.018703, 9, 128, 457, 22.95, 1004.07, 8.62, 411, 1, 44.40, 23.60, 1379, 3, 
25/1/2021, 11:26:22, 43.220650, -2.018726, 8, 129, 473, 22.93, 1004.06, 8.72, 416, 2, 44.40, 23.60, 1338, 0, 
25/1/2021, 11:26:41, 43.220615, -2.018538, 9, 129, 488, 22.95, 1004.05, 8.79, 421, 3, 44.40, 23.70, 1315, 0, 
25/1/2021, 11:27:0, 43.220608, -2.018595, 8, 130, 500, 22.95, 1004.05, 8.81, 416, 2, 44.40, 23.60, 1274, 0, 
25/1/2021, 11:27:19, 43.220604, -2.018637, 9, 124, 509, 22.96, 1004.07, 8.61, 411, 1, 44.50, 23.70, 1267, 0, 
25/1/2021, 11:27:38, 43.220585, -2.018592, 8, 125, 530, 22.94, 1004.08, 8.56, 421, 3, 44.40, 23.70, 1243, 1, 
25/1/2021, 11:27:57, 43.220592, -2.018625, 10, 125, 541, 22.95, 1004.12, 8.25, 411, 1, 44.40, 23.60, 1210, 1, 
25/1/2021, 11:28:16, 43.220592, -2.018616, 9, 118, 553, 22.95, 1004.09, 8.50, 421, 3, 44.40, 23.50, 1203, 0, 
25/1/2021, 11:28:35, 43.220612, -2.018632, 10, 118, 565, 22.95, 1004.10, 8.39, 421, 3, 44.50, 23.60, 1195, 1, 
25/1/2021, 11:28:54, 43.220619, -2.018581, 10, 134, 576, 22.92, 1004.15, 7.99, 470, 10, 44.40, 23.60, 1179, 1, 
25/1/2021, 11:29:13, 43.220619, -2.018596, 9, 123, 597, 22.87, 1004.13, 8.13, 443, 6, 44.50, 23.60, 1188, 5, 
25/1/2021, 11:29:32, 43.220631, -2.018586, 10, 140, 608, 22.84, 1004.12, 8.21, 427, 4, 44.70, 23.60, 1188, 5, 
25/1/2021, 11:29:51, 43.220638, -2.018533, 10, 114, 624, 22.84, 1004.13, 8.13, 421, 3, 44.60, 23.60, 1188, 0, 
25/1/2021, 11:30:10, 43.220661, -2.018531, 10, 105, 631, 22.88, 1004.16, 7.90, 411, 1, 44.90, 23.60, 1188, 1, 
25/1/2021, 11:30:29, 43.220673, -2.018543, 10, 103, 648, 22.85, 1004.17, 7.82, 411, 1, 45.10, 23.60, 1188, 3, 
25/1/2021, 11:30:49, 43.220680, -2.018564, 10, 107, 661, 22.82, 1004.21, 7.49, 411, 1, 44.90, 23.60, 1204, 4, 
25/1/2021, 11:31:8, 43.220680, -2.018558, 10, 125, 680, 22.80, 1004.17, 7.82, 416, 2, 44.70, 23.60, 1204, 5, 
25/1/2021, 11:31:27, 43.220699, -2.018591, 10, 120, 694, 22.84, 1004.20, 7.57, 421, 3, 44.90, 23.50, 1221, 5, 
25/1/2021, 11:31:46, 43.220703, -2.018591, 9, 139, 709, 22.86, 1004.21, 7.51, 427, 4, 44.90, 23.50, 1221, 0, 
25/1/2021, 11:32:5, 43.220699, -2.018580, 10, 139, 716, 22.88, 1004.15, 7.94, 423, 3, 44.80, 23.50, 1221, 1, 
25/1/2021, 11:32:24, 43.220711, -2.018601, 10, 139, 738, 22.90, 1004.21, 7.47, 416, 2, 44.80, 23.50, 1221, 1, 
25/1/2021, 11:32:43, 43.220730, -2.018617, 10, 129, 748, 22.93, 1004.16, 7.86, 421, 3, 44.70, 23.50, 1188, 0, 
25/1/2021, 11:33:2, 43.220776, -2.018785, 10, 143, 764, 22.92, 1004.16, 7.87, 427, 4, 44.70, 23.50, 1181, 5, 
25/1/2021, 11:33:21, 43.220776, -2.018790, 11, 135, 772, 22.93, 1004.18, 7.71, 427, 4, 44.70, 23.50, 1173, 0, 
25/1/2021, 11:33:40, 43.220753, -2.018725, 11, 136, 786, 22.93, 1004.19, 7.68, 427, 4, 44.60, 23.50, 1149, 0, 
25/1/2021, 11:33:59, 43.220753, -2.018678, 11, 136, 801, 22.93, 1004.20, 7.60, 439, 5, 44.60, 23.50, 1109, 0, 
25/1/2021, 11:34:18, 43.220737, -2.018603, 10, 129, 818, 22.93, 1004.20, 7.59, 439, 5, 44.70, 23.50, 1069, 0, 
25/1/2021, 11:34:37, 43.220730, -2.018558, 10, 129, 832, 22.90, 1004.18, 7.75, 439, 5, 44.60, 23.50, 1005, 2, 
25/1/2021, 11:34:56, 43.220711, -2.018536, 10, 131, 845, 22.88, 1004.18, 7.70, 433, 5, 44.70, 23.50, 931, 1, 
25/1/2021, 11:35:15, 43.220718, -2.018543, 10, 136, 859, 22.90, 1004.23, 7.28, 433, 5, 44.60, 23.40, 884, 6, 
25/1/2021, 11:35:34, 43.220695, -2.018491, 9, 222, 879, 22.89, 1004.20, 7.55, 421, 3, 44.70, 23.40, 827, 5, 
25/1/2021, 11:35:53, 43.220707, -2.018519, 8, 222, 893, 22.90, 1004.22, 7.37, 416, 2, 44.70, 23.40, 803, 0, 
